FPrate,Sensivity[Mean],Sensivity[Lower bound],Sensivity[Upper bound]
10.056368137,0.018652000,0.011656952,0.026459854
10.107560756,0.018668080,0.011656952,0.026459854
10.158753375,0.018682523,0.011656952,0.026459854
10.209945995,0.018689994,0.011656952,0.026459854
10.261138614,0.018690906,0.011656952,0.026459854
10.312331233,0.018694304,0.011656952,0.026459854
10.363523852,0.018698469,0.011656952,0.026459854
10.414716472,0.018709511,0.011656952,0.026459854
10.465909091,0.018722709,0.011656952,0.026459854
10.517101710,0.018750949,0.011656952,0.026459854
10.568294329,0.018781779,0.011656952,0.026459854
10.619486949,0.018847192,0.011754828,0.026578072
10.670679568,0.018938541,0.011774600,0.026711185
10.721872187,0.019032009,0.011814346,0.026863085
10.773064806,0.019124350,0.011848342,0.026933102
10.824257426,0.019228673,0.011864407,0.026933102
10.875450045,0.019374210,0.011925043,0.027027028
10.926642664,0.019529423,0.012214984,0.027295286
10.977835284,0.019705802,0.012264922,0.027477102
11.029027903,0.019888969,0.012510425,0.027824620
11.080220522,0.020034451,0.012510425,0.027914613
11.131413141,0.020185025,0.012638231,0.028037382
11.182605761,0.020374389,0.012776831,0.028085107
11.233798380,0.020557277,0.012776831,0.028423773
11.284990999,0.020722300,0.013389122,0.028648164
11.336183618,0.020861477,0.013389122,0.028682170
11.387376238,0.020978574,0.013411568,0.028880866
11.438568857,0.021065554,0.013411568,0.029102668
11.489761476,0.021124836,0.013502110,0.029102668
11.540954095,0.021175941,0.013502110,0.029102668
11.592146715,0.021221852,0.013945857,0.029102668
11.643339334,0.021267617,0.013949433,0.029102668
11.694531953,0.021310415,0.013973800,0.029229406
11.745724572,0.021378107,0.014003295,0.029239766
11.796917192,0.021483192,0.014037985,0.029357798
11.848109811,0.021614144,0.014037985,0.029694322
11.899302430,0.021735687,0.014106583,0.029711375
11.950495050,0.021903975,0.014106583,0.030109489
12.001687669,0.022129925,0.014297729,0.030201342
12.052880288,0.022372982,0.014298481,0.030355593
12.104072907,0.022612946,0.014655173,0.030782029
12.155265527,0.022798877,0.014847161,0.030985916
12.206458146,0.023022354,0.015091342,0.031353135
12.257650765,0.023228386,0.015254238,0.031578947
12.308843384,0.023410782,0.015254238,0.031640299
12.360036004,0.023522746,0.015573771,0.031720858
12.411228623,0.023592846,0.015693113,0.031821799
12.462421242,0.023647442,0.015761821,0.031821799
12.513613861,0.023695534,0.015761821,0.031821799
12.564806481,0.023726813,0.015912898,0.031821799
12.615999100,0.023741821,0.015912898,0.031821799
12.667191719,0.023747712,0.015912898,0.031821799
12.718384338,0.023750938,0.015912898,0.031821799
12.769576958,0.023752609,0.015912898,0.031821799
12.820769577,0.023760045,0.015912898,0.031836733
12.871962196,0.023776796,0.015912898,0.031836733
12.923154815,0.023797143,0.015912898,0.031836733
12.974347435,0.023829987,0.015912898,0.031836733
13.025540054,0.023882713,0.015912898,0.031841651
13.076732673,0.023962645,0.016225448,0.031879194
13.127925293,0.024068443,0.016225448,0.032006919
13.179117912,0.024190750,0.016488045,0.032229964
13.230310531,0.024317138,0.016488045,0.032450896
13.281503150,0.024457341,0.016488045,0.032617342
13.332695770,0.024625191,0.016587678,0.032718122
13.383888389,0.024783563,0.016611295,0.032878909
13.435081008,0.024955204,0.016628874,0.033304866
13.486273627,0.025109291,0.016949153,0.033628318
13.537466247,0.025254615,0.017213115,0.033759125
13.588658866,0.025367573,0.017213115,0.033802819
13.639851485,0.025497964,0.017213115,0.033802819
13.691044104,0.025616730,0.017312448,0.033955857
13.742236724,0.025774827,0.017312448,0.033972126
13.793429343,0.025919560,0.017312448,0.034210525
13.844621962,0.026060512,0.017312448,0.034591194
13.895814581,0.026222829,0.017355371,0.034632035
13.947007201,0.026405379,0.017857144,0.034854773
13.998199820,0.026590735,0.017994858,0.035103511
14.049392439,0.026757952,0.018047580,0.035714287
14.100585059,0.026918007,0.018312102,0.036123347
14.151777678,0.027069332,0.018312102,0.036363635
14.202970297,0.027254509,0.018312102,0.036585364
14.254162916,0.027441079,0.018771332,0.036585364
14.305355536,0.027605768,0.018945634,0.036595743
14.356548155,0.027748384,0.019130435,0.036595743
14.407740774,0.027932381,0.019130435,0.036658142
14.458933393,0.028132234,0.019262981,0.036858976
14.510126013,0.028302863,0.019607844,0.037456445
14.561318632,0.028462589,0.019688269,0.037735850
14.612511251,0.028590219,0.019785656,0.037735850
14.663703870,0.028676726,0.019857028,0.037803780
14.714896490,0.028738305,0.019936204,0.037803780
14.766089109,0.028810479,0.020373514,0.038006756
14.817281728,0.028867967,0.020477816,0.038006756
14.868474347,0.028933238,0.020576132,0.038053099
14.919666967,0.029011246,0.020593081,0.038111020
14.970859586,0.029056542,0.020644097,0.038111020
15.022052205,0.029130390,0.020644097,0.038111020
